run_length,is_missing,start_pos,end_pos,start_date,end_date,weekday_start,weekday_end
2,TRUE,5,6,2022-08-13,2022-08-14,Saturday,Sunday
2,TRUE,12,13,2022-08-20,2022-08-21,Saturday,Sunday
2,TRUE,19,20,2022-08-27,2022-08-28,Saturday,Sunday
1,TRUE,23,23,2022-08-31,2022-08-31,Wednesday,Wednesday
3,TRUE,26,28,2022-09-03,2022-09-05,Saturday,Monday
3,TRUE,33,35,2022-09-10,2022-09-12,Saturday,Monday
3,TRUE,40,42,2022-09-17,2022-09-19,Saturday,Monday
2,TRUE,48,49,2022-09-24,2022-09-25,Saturday,Sunday
1,TRUE,51,51,2022-09-27,2022-09-27,Tuesday,Tuesday
1,TRUE,53,53,2022-09-29,2022-09-29,Thursday,Thursday
2,TRUE,55,56,2022-10-01,2022-10-02,Saturday,Sunday
2,TRUE,62,63,2022-10-08,2022-10-09,Saturday,Sunday
1,TRUE,66,66,2022-10-12,2022-10-12,Wednesday,Wednesday
3,TRUE,69,71,2022-10-15,2022-10-17,Saturday,Monday
1,TRUE,73,73,2022-10-19,2022-10-19,Wednesday,Wednesday
3,TRUE,77,79,2022-10-22,2022-10-24,Saturday,Monday
2,TRUE,84,85,2022-10-29,2022-10-30,Saturday,Sunday
2,TRUE,88,89,2022-11-02,2022-11-03,Wednesday,Thursday
3,TRUE,91,93,2022-11-05,2022-11-07,Saturday,Monday
1,TRUE,96,96,2022-11-10,2022-11-10,Thursday,Thursday
2,TRUE,98,99,2022-11-12,2022-11-13,Saturday,Sunday
3,TRUE,104,106,2022-11-18,2022-11-20,Friday,Sunday
1,TRUE,110,110,2022-11-24,2022-11-24,Thursday,Thursday
2,TRUE,112,113,2022-11-26,2022-11-27,Saturday,Sunday
1,TRUE,115,115,2022-11-29,2022-11-29,Tuesday,Tuesday
2,TRUE,119,120,2022-12-03,2022-12-04,Saturday,Sunday
1,TRUE,123,123,2022-12-07,2022-12-07,Wednesday,Wednesday
3,TRUE,125,127,2022-12-09,2022-12-11,Friday,Sunday
5,TRUE,133,137,2022-12-17,2022-12-21,Saturday,Wednesday
3,TRUE,143,145,2022-12-24,2022-12-26,Saturday,Monday
6,TRUE,147,152,2022-12-28,2023-01-02,Wednesday,Monday
2,TRUE,160,161,2023-01-07,2023-01-08,Saturday,Sunday
1,TRUE,164,164,2023-01-11,2023-01-11,Wednesday,Wednesday
3,TRUE,167,169,2023-01-14,2023-01-16,Saturday,Monday
2,TRUE,174,175,2023-01-21,2023-01-22,Saturday,Sunday
1,TRUE,178,178,2023-01-25,2023-01-25,Wednesday,Wednesday
2,TRUE,181,182,2023-01-28,2023-01-29,Saturday,Sunday
1,TRUE,184,184,2023-01-31,2023-01-31,Tuesday,Tuesday
2,TRUE,189,190,2023-02-04,2023-02-05,Saturday,Sunday
1,TRUE,195,195,2023-02-10,2023-02-10,Friday,Friday
2,TRUE,197,198,2023-02-12,2023-02-13,Sunday,Monday
3,TRUE,203,205,2023-02-18,2023-02-20,Saturday,Monday
2,TRUE,210,211,2023-02-25,2023-02-26,Saturday,Sunday
2,TRUE,217,218,2023-03-04,2023-03-05,Saturday,Sunday
2,TRUE,224,225,2023-03-11,2023-03-12,Saturday,Sunday
2,TRUE,232,233,2023-03-18,2023-03-19,Saturday,Sunday
2,TRUE,240,241,2023-03-25,2023-03-26,Saturday,Sunday
2,TRUE,244,245,2023-03-29,2023-03-30,Wednesday,Thursday
2,TRUE,247,248,2023-04-01,2023-04-02,Saturday,Sunday
1,TRUE,251,251,2023-04-05,2023-04-05,Wednesday,Wednesday
2,TRUE,254,255,2023-04-08,2023-04-09,Saturday,Sunday
5,TRUE,263,267,2023-04-16,2023-04-20,Sunday,Thursday
2,TRUE,269,270,2023-04-22,2023-04-23,Saturday,Sunday
2,TRUE,276,277,2023-04-29,2023-04-30,Saturday,Sunday
2,TRUE,284,285,2023-05-06,2023-05-07,Saturday,Sunday
1,TRUE,289,289,2023-05-11,2023-05-11,Thursday,Thursday
2,TRUE,291,292,2023-05-13,2023-05-14,Saturday,Sunday
4,TRUE,297,300,2023-05-19,2023-05-22,Friday,Monday
3,TRUE,306,308,2023-05-27,2023-05-29,Saturday,Monday
2,TRUE,313,314,2023-06-03,2023-06-04,Saturday,Sunday
2,TRUE,320,321,2023-06-10,2023-06-11,Saturday,Sunday
3,TRUE,328,330,2023-06-17,2023-06-19,Saturday,Monday
2,TRUE,335,336,2023-06-24,2023-06-25,Saturday,Sunday
1,TRUE,340,340,2023-06-29,2023-06-29,Thursday,Thursday
2,TRUE,342,343,2023-07-01,2023-07-02,Saturday,Sunday
1,TRUE,345,345,2023-07-04,2023-07-04,Tuesday,Tuesday
4,TRUE,348,351,2023-07-07,2023-07-10,Friday,Monday
2,TRUE,356,357,2023-07-15,2023-07-16,Saturday,Sunday
1,TRUE,361,361,2023-07-20,2023-07-20,Thursday,Thursday
3,TRUE,363,365,2023-07-22,2023-07-24,Saturday,Monday
2,TRUE,370,371,2023-07-29,2023-07-30,Saturday,Sunday
2,TRUE,377,378,2023-08-05,2023-08-06,Saturday,Sunday
3,TRUE,383,385,2023-08-11,2023-08-13,Friday,Sunday
2,TRUE,391,392,2023-08-19,2023-08-20,Saturday,Sunday
2,TRUE,399,400,2023-08-26,2023-08-27,Saturday,Sunday
3,TRUE,406,408,2023-09-02,2023-09-04,Saturday,Monday
1,TRUE,410,410,2023-09-06,2023-09-06,Wednesday,Wednesday
2,TRUE,413,414,2023-09-09,2023-09-10,Saturday,Sunday
2,TRUE,420,421,2023-09-16,2023-09-17,Saturday,Sunday
2,TRUE,427,428,2023-09-23,2023-09-24,Saturday,Sunday
1,TRUE,431,431,2023-09-27,2023-09-27,Wednesday,Wednesday
2,TRUE,434,435,2023-09-30,2023-10-01,Saturday,Sunday
2,TRUE,441,442,2023-10-07,2023-10-08,Saturday,Sunday
2,TRUE,449,450,2023-10-14,2023-10-15,Saturday,Sunday
2,TRUE,456,457,2023-10-21,2023-10-22,Saturday,Sunday
2,TRUE,463,464,2023-10-28,2023-10-29,Saturday,Sunday
2,TRUE,472,473,2023-11-04,2023-11-05,Saturday,Sunday
2,TRUE,479,480,2023-11-11,2023-11-12,Saturday,Sunday
2,TRUE,486,487,2023-11-18,2023-11-19,Saturday,Sunday
2,TRUE,490,491,2023-11-22,2023-11-23,Wednesday,Thursday
3,TRUE,494,496,2023-11-25,2023-11-27,Saturday,Monday
2,TRUE,503,504,2023-12-02,2023-12-03,Saturday,Sunday
1,TRUE,514,514,2023-12-10,2023-12-10,Sunday,Sunday
1,TRUE,523,523,2023-12-17,2023-12-17,Sunday,Sunday
10,TRUE,535,544,2023-12-24,2024-01-02,Sunday,Tuesday
2,TRUE,549,550,2024-01-06,2024-01-07,Saturday,Sunday
3,TRUE,560,562,2024-01-13,2024-01-15,Saturday,Monday
2,TRUE,567,568,2024-01-20,2024-01-21,Saturday,Sunday
1,TRUE,579,579,2024-01-28,2024-01-28,Sunday,Sunday
1,TRUE,588,588,2024-02-04,2024-02-04,Sunday,Sunday
2,TRUE,599,600,2024-02-10,2024-02-11,Saturday,Sunday
2,TRUE,610,611,2024-02-18,2024-02-19,Sunday,Monday
1,TRUE,620,620,2024-02-25,2024-02-25,Sunday,Sunday
2,TRUE,629,630,2024-03-02,2024-03-03,Saturday,Sunday
2,TRUE,644,645,2024-03-09,2024-03-10,Saturday,Sunday
2,TRUE,661,662,2024-03-16,2024-03-17,Saturday,Sunday
2,TRUE,677,678,2024-03-23,2024-03-24,Saturday,Sunday
3,TRUE,691,693,2024-03-29,2024-03-31,Friday,Sunday
2,TRUE,709,710,2024-04-06,2024-04-07,Saturday,Sunday
2,TRUE,732,733,2024-04-13,2024-04-14,Saturday,Sunday
2,TRUE,753,754,2024-04-20,2024-04-21,Saturday,Sunday
2,TRUE,778,779,2024-04-27,2024-04-28,Saturday,Sunday
2,TRUE,802,803,2024-05-04,2024-05-05,Saturday,Sunday
2,TRUE,827,828,2024-05-11,2024-05-12,Saturday,Sunday
1,TRUE,853,853,2024-05-19,2024-05-19,Sunday,Sunday
2,TRUE,878,879,2024-05-25,2024-05-26,Saturday,Sunday
2,TRUE,900,901,2024-06-01,2024-06-02,Saturday,Sunday
1,TRUE,925,925,2024-06-09,2024-06-09,Sunday,Sunday
1,TRUE,950,950,2024-06-16,2024-06-16,Sunday,Sunday
2,TRUE,973,974,2024-06-22,2024-06-23,Saturday,Sunday
2,TRUE,998,999,2024-06-29,2024-06-30,Saturday,Sunday
2,TRUE,1024,1025,2024-07-06,2024-07-07,Saturday,Sunday
1,TRUE,1056,1056,2024-07-14,2024-07-14,Sunday,Sunday
2,TRUE,1088,1089,2024-07-20,2024-07-21,Saturday,Sunday
2,TRUE,1122,1123,2024-07-27,2024-07-28,Saturday,Sunday
2,TRUE,1156,1157,2024-08-03,2024-08-04,Saturday,Sunday
2,TRUE,1190,1191,2024-08-10,2024-08-11,Saturday,Sunday
1,TRUE,1224,1224,2024-08-18,2024-08-18,Sunday,Sunday
2,TRUE,1254,1255,2024-08-24,2024-08-25,Saturday,Sunday
2,TRUE,1292,1293,2024-08-31,2024-09-01,Saturday,Sunday
2,TRUE,1322,1323,2024-09-07,2024-09-08,Saturday,Sunday
2,TRUE,1352,1353,2024-09-14,2024-09-15,Saturday,Sunday
2,TRUE,1386,1387,2024-09-21,2024-09-22,Saturday,Sunday
2,TRUE,1423,1424,2024-09-28,2024-09-29,Saturday,Sunday
2,TRUE,1457,1458,2024-10-05,2024-10-06,Saturday,Sunday
1,TRUE,1492,1492,2024-10-13,2024-10-13,Sunday,Sunday
2,TRUE,1525,1526,2024-10-19,2024-10-20,Saturday,Sunday
2,TRUE,1561,1562,2024-10-26,2024-10-27,Saturday,Sunday
2,TRUE,1602,1603,2024-11-02,2024-11-03,Saturday,Sunday
2,TRUE,1639,1640,2024-11-09,2024-11-10,Saturday,Sunday
2,TRUE,1678,1679,2024-11-16,2024-11-17,Saturday,Sunday
1,TRUE,1717,1717,2024-11-24,2024-11-24,Sunday,Sunday
2,TRUE,1748,1749,2024-11-30,2024-12-01,Saturday,Sunday
1,TRUE,1788,1788,2024-12-08,2024-12-08,Sunday,Sunday
2,TRUE,1827,1828,2024-12-14,2024-12-15,Saturday,Sunday
2,TRUE,1869,1870,2024-12-21,2024-12-22,Saturday,Sunday
1,TRUE,1883,1883,2024-12-25,2024-12-25,Wednesday,Wednesday
2,TRUE,1888,1889,2024-12-28,2024-12-29,Saturday,Sunday
1,TRUE,1902,1902,2025-01-01,2025-01-01,Wednesday,Wednesday
2,TRUE,1919,1920,2025-01-04,2025-01-05,Saturday,Sunday
1,TRUE,1954,1954,2025-01-12,2025-01-12,Sunday,Sunday
1,TRUE,1993,1993,2025-01-19,2025-01-19,Sunday,Sunday
2,TRUE,2027,2028,2025-01-25,2025-01-26,Saturday,Sunday
2,TRUE,2064,2065,2025-02-01,2025-02-02,Saturday,Sunday
2,TRUE,2103,2104,2025-02-08,2025-02-09,Saturday,Sunday
2,TRUE,2142,2143,2025-02-15,2025-02-16,Saturday,Sunday
1,TRUE,2177,2177,2025-02-23,2025-02-23,Sunday,Sunday
2,TRUE,2216,2217,2025-03-01,2025-03-02,Saturday,Sunday
2,TRUE,2257,2258,2025-03-08,2025-03-09,Saturday,Sunday
2,TRUE,2298,2299,2025-03-15,2025-03-16,Saturday,Sunday
2,TRUE,2337,2338,2025-03-22,2025-03-23,Saturday,Sunday
2,TRUE,2375,2376,2025-03-29,2025-03-30,Saturday,Sunday
1,TRUE,2406,2406,2025-04-05,2025-04-05,Saturday,Saturday
2,TRUE,2438,2439,2025-04-12,2025-04-13,Saturday,Sunday
3,TRUE,2461,2463,2025-04-18,2025-04-20,Friday,Sunday
2,TRUE,2493,2494,2025-04-26,2025-04-27,Saturday,Sunday
